timestamp_sec,lat,lon,alt_msl,speed_mps,heading_deg
1.37,18.520673,73.856905,122.64,8.5,42.0
1.40,18.520680,73.856910,122.67,8.5,42.0
1.43,18.520687,73.856915,122.71,8.5,42.0
1.47,18.520693,73.856920,122.74,8.5,42.0
1.50,18.520700,73.856925,122.77,8.5,42.0
1.53,18.520707,73.856930,122.80,8.5,42.0
1.57,18.520713,73.856935,122.83,8.5,42.0
1.60,18.520720,73.856940,122.85,8.5,42.0
1.63,18.520727,73.856945,122.88,8.5,42.0
1.67,18.520733,73.856950,122.90,8.5,42.0
1.70,18.520740,73.856955,122.92,8.5,42.0
1.73,18.520747,73.856960,122.93,8.5,42.0
1.77,18.520753,73.856965,122.95,8.5,42.0
1.80,18.520760,73.856970,122.96,8.5,42.0
1.83,18.520767,73.856975,122.97,8.5,42.0
1.87,18.520773,73.856980,122.98,8.5,42.0
1.90,18.520780,73.856985,122.99,8.5,42.0
1.93,18.520787,73.856990,123.00,8.5,42.0
1.97,18.520793,73.856995,123.00,8.5,42.0
2.00,18.520800,73.857000,123.00,8.5,42.0
2.03,18.520807,73.857005,123.00,8.5,42.0
2.07,18.520813,73.857010,123.00,8.5,42.0
2.10,18.520820,73.857015,122.99,8.5,42.0
2.13,18.520827,73.857020,122.98,8.5,42.0
2.17,18.520833,73.857025,122.97,8.5,42.0
2.20,18.520840,73.857030,122.96,8.5,42.0
2.23,18.520847,73.857035,122.95,8.5,42.0
2.27,18.520853,73.857040,122.93,8.5,42.0
2.30,18.520860,73.857045,122.92,8.5,42.0
2.33,18.520867,73.857050,122.90,8.5,42.0
2.37,18.520873,73.857055,122.88,8.5,42.0
2.40,18.520880,73.857060,122.85,8.5,42.0
2.43,18.520887,73.857065,122.83,8.5,42.0
2.47,18.520893,73.857070,122.80,8.5,42.0
2.50,18.520900,73.857075,122.77,8.5,42.0
2.53,18.520907,73.857080,122.74,8.5,42.0
2.57,18.520913,73.857085,122.71,8.5,42.0
2.60,18.520920,73.857090,122.67,8.5,42.0
2.63,18.520927,73.857095,122.64,8.5,42.0
2.67,18.520933,73.857100,122.60,8.5,42.0
2.70,18.520940,73.857105,122.56,8.5,42.0
2.73,18.520947,73.857110,122.52,8.5,42.0
2.77,18.520953,73.857115,122.47,8.5,42.0
2.80,18.520960,73.857120,122.43,8.5,42.0
2.83,18.520967,73.857125,122.38,8.5,42.0
2.87,18.520973,73.857130,122.33,8.5,42.0
2.90,18.520980,73.857135,122.28,8.5,42.0
2.93,18.520987,73.857140,122.23,8.5,42.0
2.97,18.520993,73.857145,122.18,8.5,42.0
3.00,18.521000,73.857150,122.12,8.5,42.0
3.03,18.521007,73.857155,122.07,8.5,42.0
3.07,18.521013,73.857160,122.01,8.5,42.0
3.10,18.521020,73.857165,121.95,8.5,42.0
3.13,18.521027,73.857170,121.89,8.5,42.0
3.17,18.521033,73.857175,121.83,8.5,42.0
3.20,18.521040,73.857180,121.76,8.5,42.0
3.23,18.521047,73.857185,121.70,8.5,42.0
3.27,18.521053,73.857190,121.63,8.5,42.0
3.30,18.521060,73.857195,121.57,8.5,42.0
3.33,18.521067,73.857200,121.50,8.5,42.0
3.37,18.521073,73.857205,121.43,8.5,42.0
3.40,18.521080,73.857210,121.36,8.5,42.0
3.43,18.521087,73.857215,121.29,8.5,42.0
3.47,18.521093,73.857220,121.22,8.5,42.0
3.50,18.521100,73.857225,121.15,8.5,42.0
3.53,18.521107,73.857230,121.08,8.5,42.0
3.57,18.521113,73.857235,121.00,8.5,42.0
3.60,18.521120,73.857240,120.93,8.5,42.0
3.63,18.521127,73.857245,120.85,8.5,42.0
3.67,18.521133,73.857250,120.78,8.5,42.0
3.70,18.521140,73.857255,120.70,8.5,42.0
3.73,18.521147,73.857260,120.62,8.5,42.0
3.77,18.521153,73.857265,120.55,8.5,42.0
3.80,18.521160,73.857270,120.47,8.5,42.0
3.83,18.521167,73.857275,120.39,8.5,42.0
3.87,18.521173,73.857280,120.31,8.5,42.0
3.90,18.521180,73.857285,120.24,8.5,42.0
3.93,18.521187,73.857290,120.16,8.5,42.0
3.97,18.521193,73.857295,120.08,8.5,42.0
